urlOrigem,httpStatusCode,urlRedirect,titlePage,destinationUrlStatus
https://www.netcoffee.com.br/capuccinos/capuccino-qualimax-avela,301,https://www.netcoffee.com.br/capuccino-avela-1kg,"Capuccino Avelã 1kg | NetCoffee",200
https://www.netcoffee.com.br/chas/chai-latte-pacote-250g,301,https://www.netcoffee.com.br/chai-latte-tea-1kg,"Chai Latte Tea 1kg | NetCoffee",200
https://www.netcoffee.com.br/cha-mate-natural-soluvel-250-g,301,https://www.netcoffee.com.br/cha-mate-natural-soluvel,"Chá Mate Natural Solúvel | NetCoffee",200
https://www.netcoffee.com.br/chocolate-superiore-1-kg,301,https://www.netcoffee.com.br/chocolate-superiore-1kg,"Chocolate Superiore 1kg | NetCoffee",200
https://www.netcoffee.com.br/chas/xarope/xarope-cranberry-vora-1l,301,https://www.netcoffee.com.br/xarope-cranberry-vora-1l,"Xarope Cranberry Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/leite-de-coco-em-po-200g,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/cafes/cafe-santa-monica-moido-premium-gourmet-500g,301,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/combos-netcoffee,301,https://www.netcoffee.com.br/top-10,"Top 10 | NetCoffee",200
https://www.netcoffee.com.br/chas/soluvel,301,https://www.netcoffee.com.br/chas,"Chás | NetCoffee",200
https://www.netcoffee.com.br/chas/cha-mate-limao-qualimax-1-kg,301,https://www.netcoffee.com.br/cha-mate-limao-1kg,"Chá Mate Limão 1kg | NetCoffee",200
https://www.netcoffee.com.br/achocolatado-nestle-prestigio-101-kg,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/acucar-demerara-sache-caixa-com-400-saches-de-4-g-cada,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/acucar-premium-sache-caixa-com-1-000-saches-de-5-g-cada,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/cafes/cafe-em-po-coffee-arara-pacote-250g,301,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/chocolates/chocolate-cremoso-europeu-santa-monica-caixa-com-20-saches,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/chocolate-com-leite-tradicional-1kg,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/leite-bianco-sem-acucar-pacote-510g,301,https://www.netcoffee.com.br/preparado-lacteo-1kg,"Preparado Lácteo 1kg | NetCoffee",200
https://www.netcoffee.com.br/leite-adocado-1-kg,301,https://www.netcoffee.com.br/preparado-lacteo-1kg,"Preparado Lácteo 1kg | NetCoffee",200
https://www.netcoffee.com.br/central-do-cliente,301,https://www.netcoffee.com.br/checkout/acesso/,NetCoffee,200
https://www.netcoffee.com.br/cafes/cafe-em-po-coffee-classico-pacote-250g,301,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/taca-gin-tonica-600-ml-kit-com-2,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/xarope-routin-1883-baunilha-1l,200,https://www.netcoffee.com.br/xarope-baunilha-vora-1l,"Xarope Baunilha Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/vending-machine,200,https://www.netcoffee.com.br/capuccinos/,"Capuccinos | NetCoffee",200
https://www.netcoffee.com.br/xarope-routin-1883-grenadine-1l,200,https://www.netcoffee.com.br/xarope-cranberry-vora-1l,"Xarope Cranberry Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/black-week/pote-para-armazenagem-netcoffee,200,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/cafes/coffee-cafe-em-grao-cerrado-mineiro-pacote-250g,200,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/drip-coffee-constantino-caixa-com-10-saches,200,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/leite-bianco-com-acucar-pacote-510g,200,https://www.netcoffee.com.br/preparado-lacteo-1kg,"Preparado Lácteo 1kg | NetCoffee",200
https://www.netcoffee.com.br/my-account/,200,https://www.netcoffee.com.br/checkout/acesso/,NetCoffee,200
https://www.netcoffee.com.br/cha-mune-c-caixa-30-saches,200,https://www.netcoffee.com.br/chas,"Chás | NetCoffee",200
https://www.netcoffee.com.br/capuccino-tradicional-barisly-1-kg,200,https://www.netcoffee.com.br/capuccino-tradicional-1-kg,"Capuccino Tradicional 1 kg | NetCoffee",200
https://www.netcoffee.com.br/cha-erva-doce-organico-cx-com-10-saches,200,https://www.netcoffee.com.br/chas,"Chás | NetCoffee",200
https://www.netcoffee.com.br/chas/trio-chai-latte-kit-com-3-pacotes-de-1-kg,200,https://www.netcoffee.com.br/chas,"Chás | NetCoffee",200
https://www.netcoffee.com.br/frapes-e-ices/ice-milho-verde-1kg,200,https://www.netcoffee.com.br/frapes-e-ices/,"Frapês e ices | NetCoffee",200
https://www.netcoffee.com.br/cha-maca-com-canela-cx-10-saches,200,https://www.netcoffee.com.br/chas,"Chás | NetCoffee",200
